Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
9066,"FRONT ST,BENTON",427556,568570,X3, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,North Tyneside,OPERATING,NONE
9068,"WHITLEY RD,BENTON",428215,568681,X3, ,BRACKET,LARGE, ,NOne,Yes,North Tyneside,OPERATING,ARUN
9069,"WHITLEY RD,BENTON",428695,568947,X3,0503/0190,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ADSHEL
9070,"WHITLEY RD,BENTON",428643,568922,X3,0503/0191,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ADSHEL
9071,"WHITLEY RD,BENTON",428174,568648,X3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
9072,"WHITLEY RD,BENTON",427735,568590,X3, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
9073,"FRONT ST,BENTON",427432,568508,O4, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
9103,"NEPTUNE RD,WALLSEND",429651,565591,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
9104,"NEPTUNE RD,WALLSEND",429748,565774,X4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,STONE
9105,NEPTUNE RD WALLSEND,429918,565976,X5, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
9106,NEPTUNE RD WALLSEND,429836,565865,X4, ,STAINLESS STEEL,none, ,NEARBY,New,North Tyneside,OUTSER,NONE
9107,NEPTUNE RD WALLSEND,429731,565736,O4, ,STAINLESS STEEL,none, ,NEARBY,Yes,North Tyneside,OUTSER,NONE
9108,NEPTUNE RD WALLSEND,429670,565516,O4, ,Removed,None, ,Unknow,Yes,North Tyneside,OPERATING,NONE
9138,BENTON ROAD MANOR PLACE,427063,568259,C5,0502/0053,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,ADSHEL
9139,BENTON LANE L/BENTON,426815,568837,X1,0503/0201,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
9140,BENTON LANE,426697,569112,C4,0503/0202,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
9141,BENTON LANE,426741,569033,C5,0503/0192,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
